reading_id,shipment_id,lot_id,timestamp,temperature_c,humidity_percent,location,device_id,threshold_min_c,threshold_max_c,excursion_flag,excursion_duration_minutes,notes
CC0039,SH1,L005,2024-01-17 14:00:00,13.5,76,IN_TRANSIT_AIR,TEMP_060,2,8,YES,120,PROLONGED EXCURSION - Lot compromised
CC0040,SH1,L005,2024-01-17 16:00:00,8.2,71,DEST_WAREHOUSE,TEMP_060,2,8,YES,0,Delivered but HOLD for investigation
CC0041,SH4,L025,2024-02-07 06:00:00,-19.5,40,ORIGIN_WAREHOUSE,TEMP_070,-25,-15,NO,0,Biologics normal start
CC0042,SH4,L025,2024-02-07 09:00:00,-14.2,46,IN_TRANSIT_AIR,TEMP_070,-25,-15,YES,25,EXCURSION - Near upper limit
CC0043,SH4,L025,2024-02-07 12:00:00,-12.8,48,IN_TRANSIT_AIR,TEMP_070,-25,-15,YES,90,CRITICAL - Above threshold
CC0044,SH4,L025,2024-02-07 15:00:00,-16.5,44,DEST_WAREHOUSE,TEMP_070,-25,-15,NO,0,Recovered but lot on HOLD
CC0045,SH6,L015,2024-02-12 08:00:00,21.5,54,ORIGIN_WAREHOUSE,TEMP_080,15,25,NO,0,API ambient - normal
CC0046,SH6,L015,2024-02-12 14:00:00,23.2,57,IN_TRANSIT_TRUCK,TEMP_080,15,25,NO,0,Normal transport
CC0047,SH6,L015,2024-02-12 18:00:00,22.8,56,DEST_WAREHOUSE,TEMP_080,15,25,NO,0,Delivered normal - later found foreign particle
CC0048,SH1,L007,2024-02-10 07:30:00,5.5,67,ORIGIN_WAREHOUSE,TEMP_090,2,8,NO,0,Vaccine normal
CC0049,SH1,L007,2024-02-10 11:30:00,6.8,69,IN_TRANSIT_TRUCK,TEMP_090,2,8,NO,0,Normal transport
CC0050,SH1,L007,2024-02-10 15:30:00,7.5,70,DEST_WAREHOUSE,TEMP_090,2,8,NO,0,Delivered - later potency deviation found
CC0051,SH7,L006,2024-02-14 06:00:00,4.2,65,ORIGIN_WAREHOUSE,TEMP_100,2,8,NO,0,Vaccine normal
CC0052,SH7,L006,2024-02-14 10:00:00,5.8,68,IN_TRANSIT_AIR,TEMP_100,2,8,NO,0,Normal flight
CC0053,SH7,L006,2024-02-14 14:00:00,4.9,66,DEST_WAREHOUSE,TEMP_100,2,8,NO,0,Approved lot - normal delivery
CC0054,SH1,L037,2024-03-07 08:00:00,3.9,64,ORIGIN_WAREHOUSE,TEMP_110,2,8,NO,0,Normal origin
CC0055,SH1,L037,2024-03-07 11:00:00,8.5,71,IN_TRANSIT_TRUCK,TEMP_110,2,8,YES,35,EXCURSION - Refrigeration issue
CC0056,SH1,L037,2024-03-07 14:00:00,6.2,69,DEST_WAREHOUSE,TEMP_110,2,8,NO,0,Delivered - HOLD for stability assessment
CC0057,SH4,L050,2024-03-12 07:00:00,-18.5,41,ORIGIN_WAREHOUSE,TEMP_120,-25,-15,NO,0,Normal ultra-cold
CC0058,SH4,L050,2024-03-12 10:00:00,-17.2,43,IN_TRANSIT_AIR,TEMP_120,-25,-15,NO,0,Acceptable variation
CC0059,SH4,L050,2024-03-12 13:00:00,-14.8,46,IN_TRANSIT_AIR,TEMP_120,-25,-15,YES,20,Brief excursion during delay
CC0060,SH4,L050,2024-03-12 16:00:00,-18.9,40,DEST_WAREHOUSE,TEMP_120,-25,-15,NO,0,Delivered - HOLD for shipping delay investigation
CC0061,SH1,L049,2024-03-27 06:30:00,5.1,66,ORIGIN_WAREHOUSE,TEMP_130,2,8,NO,0,Vaccine normal start
CC0062,SH1,L049,2024-03-27 09:30:00,9.2,72,IN_TRANSIT_AIR,TEMP_130,2,8,YES,40,EXCURSION - Temperature deviation
CC0063,SH1,L049,2024-03-27 12:30:00,10.8,73,IN_TRANSIT_AIR,TEMP_130,2,8,YES,80,PROLONGED - Investigation required
CC0064,SH1,L049,2024-03-27 15:30:00,6.5,69,DEST_WAREHOUSE,TEMP_130,2,8,NO,0,Delivered - HOLD pending investigation
